Sl No,Accident_Index,Date,Day_of_Week,Time_of_Accident,Accident_Location_A,Accident_Location_A_Chainage_km,Accident_Location_A_Chainage_km_RoadSide,Nature_of_Accident_B1,Nature_of_Accident_B2,Nature_of_Accident_B3,Accident_Severity_C,Classification_of_Accident_C1,Classification_of_Accident_C2,Classification_of_Accident_C3,Causes_D1,Causes_D2,Causes_D3,Causes_D4,Causes_D5,Road_Feature_E,Road_Condition_F,Intersection_Type_G,Weather_Conditions_H,Vehicle_Type_Involved_J_V1,Vehicle_Type_Involved_J_V2,Vehicle_Type_Involved_J_V3,Vehicle_Type_Involved_J_V4,Number_of_Vehicles,Number_of_Casualties_Fatel,Number_of_Casualties_GrievousInjury,Number_of_Casualties_MinorInjury,Number_of_Casualties_NotInjured,Number_of_Casualties,Remarks
11,201300011,41546,7,06:30,2,176.6,LHS,8,,,3,9,,,3,,,,,2,5,6,8,5,7,,,2,,,1,,1,
12,201300012,41547,1,18:45,2,169.9,RHS,8,,,4,9,,,2,,,,,3,6,9,12,5,,,,1,,,,1,0,
13,201300013,41548,2,23:00,2,198.8,LHS,4,,,4,4,,,2,,,,,2,7,1,9,1,7,,,2,,,,1,0,
14,201300014,41549,3,17:30,2,237.9,LHS,6,,,1,1,,,3,,,,,2,1,3,4,1,,,,1,1,,1,,2,
15,201300015,41549,3,12:30,2,178.5,RHS,6,,,3,3,,,3,,,,,2,4,2,9,5,,,,1,,,1,,1,
16,201300016,41550,4,07:15,2,178.4,LHS,4,,,3,3,,,2,,,,,2,1,1,10,5,8,,,2,,,1,,1,
17,201300017,41550,4,15:40,2,237.8,LHS,6,,,2,2,,,2,,,,,2,2,3,4,1,,,,1,,1,,,1,
18,201300018,41551,5,18:40,2,213.8,LHS,2,,,2,2,,,1,,,,,2,2,2,9,2,1,,,2,,1,,,1,
19,201300019,41554,1,06:00,2,221.2,LHS,2,,,2,2,,,2,,,,,2,7,1,5,5,2,,,2,,1,1,1,2,
20,201300020,41557,4,11:40,2,226,LHS,7,,,1,1,,,3,,,,,2,3,2,10,1,7,,,2,1,,1,,2,
21,201300021,41557,4,17:18,2,204,LHS,2,,,2,2,,,4,,,,,2,1,3,9,6,6,,,2,,1,1,,2,
22,201300022,41557,4,10:05,2,197.05,LHS,6,,,4,4,,,3,,,,,2,8,1,4,1,,,,1,,,,1,0,
23,201300023,41559,6,18:50,2,219.8,RHS,1,,,3,3,,,2,,,,,2,,1,10,1,5,,,2,,,1,,1,
24,201300024,41559,6,09:40,2,220.4,LHS,6,,,2,2,,,3,,,,,2,4,1,5,5,,,,1,,1,1,1,2,
25,201300025,41560,7,04:50,2,202.6,LHS,4,,,4,4,,,2,,,,,2,4,2,9,1,2,,,2,,,,1,0,
26,201300026,41561,1,08:30,2,224.1,LHS,6,,,4,4,,,3,,,,,2,2,1,4,2,,,,1,,,,1,0,
27,201300027,41562,2,09:30,2,203.6,LHS,4,,,4,4,,,2,,,,,2,1,2,4,5,1,,,2,,,,1,0,
28,201300028,41562,2,09:45,2,223,RHS,7,,,4,4,,,3,,,,,2,8,1,2,1,,,,1,,,,1,0,
29,201300029,41562,2,07:30,2,203.6,LHS,6,,,2,2,,,4,,,,,2,2,2,2,5,,,,1,,1,,,1,
30,201300030,41562,2,11:00,2,247,RHS,4,,,4,4,,,2,,,,,2,1,1,1,5,5,,,2,,,,1,0,
31,201300031,41563,3,12:30,2,187.4,RHS,4,,,4,4,,,3,,,,,2,2,2,9,1,5,,,2,,,,1,0,
32,201300032,41563,3,14:30,2,247.6,RHS,2,,,4,4,,,2,,,,,2,2,1,9,5,1,,,2,,,,1,0,
33,201300033,41565,5,18:00,2,179.6,LHS,6,,,4,4,,,3,,,,,2,1,2,9,5,,,,1,,,,1,0,
34,201300034,41566,6,00:35,2,171.6,LHS,3,,,2,2,,,2,,,,,2,1,2,12,6,1,,,2,,2,,,2,
35,201300035,41567,7,01:10,2,210.4,LHS,6,,,4,4,,,3,,,,,2,3,2,4,5,,,,1,,,,1,0,
36,201300036,41567,7,08:20,2,186.6,RHS,2,,,2,2,,,2,,,,,2,4,4,1,5,5,,,2,,1,,,1,
37,201300037,41569,2,21:15,2,237.2,RHS,2,,,1,1,,,3,,,,,2,4,1,4,6,5,,,2,2,,,,2,
38,201300038,41570,3,14:20,2,173.8,RHS,7,,,1,1,,,2,,,,,2,1,4,2,1,,,,1,1,,,,1,
39,201300039,41570,3,18:30,2,223.4,RHS,4,,,2,2,,,3,,,,,2,4,2,4,6,,,,1,,2,,,2,
40,201300040,41571,4,04:45,2,216,RHS,6,,,3,3,,,2,,,,,2,2,3,1,1,,,,1,,,1,,1,
41,201300041,41568,1,06:30,2,187.5,LHS,5,,,3,3,,,2,,,,,2,1,1,2,2,1,,,2,,,1,,1,
42,201300042,41574,7,22:40,2,180.6,LHS,6,,,4,4,,,2,,,,,2,1,5,8,5,,,,1,,,,1,0,
43,201300043,41576,2,07:45,2,213,RHS,6,,,2,2,,,2,,,,,2,7,6,10,6,,,,1,,2,,,2,
44,201300044,41577,3,08:20,2,213.6,RHS,6,,,2,2,,,2,,,,,2,1,1,4,6,,,,1,,1,,,1,
45,201300045,41579,5,11:30,2,163.7,RHS,2,,,1,1,,,3,,,,,2,1,1,9,5,6,,,2,2,1,,,3,
46,201300046,41582,1,09:45,2,176.6,RHS,5,,,3,3,,,2,,,,,2,4,2,10,1,6,,,2,,,1,,1,
47,201300047,41583,2,08:00,2,177.6,RHS,2,,,4,4,,,3,,,,,2,4,1,9,1,1,,,2,,,,1,0,
48,201300048,41584,3,09:15,2,175,LHS,6,,,2,2,,,2,,,,,2,1,2,8,6,12,,,2,,1,,,1,
49,201300049,41584,3,14:30,2,157.2,LHS ,3,,,1,1,,,3,,,,,1,1,1,9,6,,,,1,1,,,,1,
50,201300050,41584,3,13:30,2,220.8,RHS,2,,,3,3,,,2,,,,,2,2,5,8,1,1,,,2,,,1,,1,
51,201300051,41584,3,08:30,2,155.4,RHS,6,,,1,1,,,2,,,,,2,1,5,10,10,1,,,2,1,2,1,,4,
52,201300052,41585,4,05:31,2,166.9,RHS,9,,,4,4,,,2,,,,,2,2,1,8,1,,,,1,,,,1,0,
53,201300053,41589,1,16:40,2,247.1,RHS,6,,,4,4,,,3,,,,,2,1,2,8,2,7,,,2,,,,1,0,
54,201300054,41590,2,19:45,2,156.4,RHS,5,,,4,4,,,3,,,,,2,2,3,10,5,10,,,2,,,,1,0,
55,201300055,41590,2,20:10,2,236.5,RHS,7,,,4,4,,,2,,,,,2,8,5,9,5,,,,1,,,,1,0,
56,201300056,41591,3,07:50,2,176.85,RHS,4,,,4,4,,,2,,,,,2,1,3,10,2,1,,,2,,,,1,0,
57,201300057,41591,3,10:20,2,232.4,LHS,7,,,1,1,,,3,,,,,2,4,2,10,6,,,,1,1,1,,,2,
58,201300058,41592,4,09:14,2,189.9,LHS,2,,,4,4,,,2,,,,,2,6,1,2,5,7,,,2,,,,1,0,
59,201300059,41593,5,11:30,2,225.8,LHS,6,,,2,2,,,3,,,,,2,4,5,2,1,6,,,2,,1,,,1,
60,201300060,41593,5,12:15,2,220,LHS,4,,,2,2,,,3,,,,,2,1,1,9,1,7,,,2,,1,2,,3,
61,201300061,41594,6,08:15,2,207.8,RHS,7,,,2,2,,,2,,,,,2,4,3,10,5,2,,,2,,1,,1,0,
62,201300062,41594,6,16:00,2,231.2,RHS,2,,,2,2,,,3,,,,,2,8,5,10,6,1,,,2,,1,,,1,
63,201300063,41596,1,12:30,2,238.8,LHS,2,,,1,1,,,2,,,,,2,4,3,2,6,,,,1,1,,,,1,
64,201300064,41596,1,10:00,2,197.8,RHS,2,,,1,1,,,3,,,,,2,4,3,2,6,7,,,2,1,,,,1,
65,201300065,41597,2,07:15,2,228,RHS,6,,,2,2,,,3,,,,,2,1,1,10,1,,,,1,,1,,,1,
66,201300066,41597,2,11:40,2,204.5,LHS,6,,,2,2,,,2,,,,,2,8,3,10,6,1,,,2,,1,1,,2,
67,201300067,41597,2,16:30,2,176.6,LHS,6,,,3,3,,,3,,,,,2,1,5,2,6,,,,1,,,2,,2,
68,201300068,41602,7,10:10,2,194,RHS,6,,,2,2,,,3,,,,,2,1,1,10,6,5,,,2,,2,,,2,
69,201300069,41605,3,11:30,2,187.1,RHS,6,,,2,2,,,4,,,,,1,1,1,9,9,,,,1,,2,,,2,
70,201300070,41606,4,15:30,2,172.4,RHS,6,,,2,2,,,4,,,,,2,1,3,10,6,,,,1,,2,,,2,
71,201300071,41607,5,06:10,2,216,LHS,4,,,2,2,,,3,,,,,2,8,3,10,1,5,,,2,,2,,,2,
72,201300072,41607,5,09:00,2,216.8,RHS,6,,,2,2,,,2,,,,,2,4,3,2,5,,,,1,,2,,,2,
73,201300073,41607,5,08:30,2,195.3,LHS,7,,,4,4,,,2,,,,,2,1,5,2,5,,,,1,,,,1,0,
74,201300074,41608,6,10:50,2,165.8,LHS,6,,,2,2,,,2,,,,,2,1,3,2,6,,,,1,,2,,,2,
75,201300075,41610,1,05:20,2,188.2,RHS,5,,,3,3,,,3,,,,,2,4,1,9,5,6,,,2,,,2,,2,
76,201300076,41610,1,12:00,2,228.2,LHS,6,,,2,2,,,2,,,,,2,3,1,10,7,,,,1,,1,,,1,
77,201300077,41611,2,12:59,2,220.8,LHS,6,,,3,3,,,3,,,,,2,6,5,10,6,,,,1,,,1,,1,
78,201300078,41612,3,05:20,2,232.8,LHS,6,,,2,2,3,,3,,,,,2,3,2,8,6,,,,1,,1,1,,2,
79,201300079,41613,4,11:30,2,153.3,RHS,5,,,4,4,,,3,,,,,2,6,2,10,1,,,,1,,,,1,0,
80,201300080,41615,6,04:30,2,176.3,RHS,5,,,3,3,,,2,,,,,2,3,2,9,5,,,,1,,,1,,1,
81,201300081,41615,6,10:25,2,187.5,LHS,7,,,4,4,,,3,,,,,2,4,6,10,5,1,,,2,,,,1,0,
82,201300082,41615,6,12:20,2,235.2,LHS,6,,,2,2,,,2,,,,,2,3,2,8,2,6,,,2,,1,,,1,
83,201300083,41618,2,09:40,2,231.2,RHS,3,,,3,3,,,2,,,,,2,1,3,10,5,1,,,2,,,2,,2,
84,201300084,41618,2,01:45,2,221.2,LHS,5,,,4,4,,,3,,,,,2,4,2,12,3,5,,,2,,,,1,0,
85,201300085,41619,3,08:40,2,222.9,RHS,6,,,2,3,,,2,,,,,2,3,2,10,5,2,,,2,,2,2,,4,
86,201300086,41620,4,06:40,2,161.7,LHS ,6,,,3,3,,,3,,,,,1,6,4,10,6,,,,1,,,1,,1,
87,201300087,41620,4,09:45,2,181,RHS,6,,,3,3,,,2,,,,,2,4,7,8,6,,,,1,,,1,,1,
88,201300088,41620,4,07:00,2,222.9,RHS,5,,,4,4,,,2,,,,,2,5,3,8,5,,,,1,,,,1,0,
89,201300089,41620,4,11:05,2,214,LHS,2,,,2,2,,,3,,,,,2,2,2,9,5,10,,,2,,1,,,1,
90,201300090,41621,5,04:05,2,205.8,LHS,5,,,1,1,,,2,,,,,2,4,3,10,11,,,,1,1,,,,1,
91,201300091,41622,6,10:40,2,186.2,RHS,5,,,2,2,,,3,,,,,2,2,2,9,5,5,,,2,,2,,,2,
92,201300092,41623,7,06:00,2,222.4,RHS,2,,,4,4,,,2,,,,,2,6,7,8,1,,,,1,,,,1,0,
93,201300093,41624,1,11:25,2,172,RHS,2,,,3,3,,,2,,,,,2,4,2,10,1,1,,,2,,,4,,4,
94,201300094,41624,1,11:40,2,226.2,RHS,8,,,2,2,,,3,,,,,1,4,1,8,11,,,,1,,1,,,1,
95,201300095,41626,3,03:30,2,177.2,RHS,6,,,4,4,,,3,,,,,2,1,2,9,5,,,,1,,,,1,0,
96,201300096,41629,6,10:00,2,179.1,LHS,4,,,1,1,2,,2,,,,,2,4,2,8,1,,,,1,1,4,,,5,
97,201300097,41630,7,06:30,2,226.35,RHS,2,,,2,2,3,,3,,,,,1,2,3,8,3,3,,,2,,14,8,,22,
98,201300098,41631,1,11:10,2,153.8,LHS,2,,,2,2,3,,2,,,,,2,4,2,10,5,1,,,2,,1,1,,2,
99,201300099,74503,1,01:45,2,229,RHS,5,,,3,3,,,3,,,,,2,2,3,9,1,,,,1,,,3,,3,
100,201300100,41632,2,07:15,2,193.6,LHS,2,,,3,3,,,2,,,,,2,4,2,10,1,3,,,2,,,3,,3,
101,201300101,41634,4,08:32,2,185,RHS,6,,,3,3,,,3,,,,,2,2,3,9,6,,,,1,,,2,,2,
102,201300102,41634,4,11:00,2,229.5,RHS,2,,,3,3,,,3,,,,,2,6,2,8,1,1,,,2,,,2,,2,
103,201300103,41635,5,01:30,2,152.2,RHS,6,,,3,3,,,3,,,,,2,4,1,12,6,,,,1,,,1,,1,
104,201300104,41635,5,07:50,2,199,RHS,5,,,2,2,,,2,,,,,2,1,2,12,1,,,,1,,1,,,1,
105,201300105,41636,6,01:20,2,240,LHS,6,,,3,3,,,3,,,,,2,1,2,8,6,,,,1,,,2,,2,
106,201300106,41636,6,09:00,2,239,RHS,5,,,4,4,,,2,,,,,2,2,3,10,5,,,,1,,,,1,0,
107,201300107,41636,6,11:30,2,229.2,RHS,2,,,4,4,,,2,,,,,2,1,2,9,2,3,,,2,,,,1,0,
108,201300108,41636,6,06:10,2,230,LHS,5,,,4,4,,,3,,,,,2,6,3,12,5,,,,1,,,,1,0,
109,201300109,41638,1,11:10,2,185.5,LHS,6,,,3,3,,,2,,,,,2,5,1,8,6,,,,1,,,1,,1,
110,201300110,41639,2,12:20,2,211.5,RHS,8,,,1,1,3,,3,,,,,2,1,2,12,5,,,,1,2,,1,,3,
111,201300111,41639,2,08:30,2,210.6,LHS,2,,,2,2,,,3,,,,,2,1,3,9,5,5,,,2,,1,,,1,
112,201400001,41640,3,12:10,2,171.7,RHS,8,,,3,3,,,2,,,,,1,1,2,9,1,,,,1,,,2,,2,
113,201400002,41641,4,05:30,2,178.65,LHS,6,,,3,3,,,2,,,,,1,2,2,9,6,,,,1,,,7,,7,
114,201400003,41641,4,05:20,2,233.1,RHS,2,,,2,2,,,2,,,,,2,2,4,10,5,8,,,2,,3,,,3,
115,201400004,41642,5,08:45,2,242.2,RHS,6,,,3,2,,,3,,,,,2,4,1,12,6,,,,1,,,1,,1,
116,201400005,41643,6,05:35,2,157.6,RHS,4,,,4,2,,,4,,,,,2,4,1,12,1,,,,1,,,,1,0,
117,201400006,41643,6,10:00,2,182.2,RHS,2,,,4,3,,,4,,,,,2,5,5,9,10,14,,,2,,,,1,0,
118,201400007,41643,6,04:30,2,210.2,LHS,6,,,4,2,,,4,,,,,2,2,1,12,5,,,,1,,,,1,0,
119,201400008,41279,6,03:10,2,181.9,LHS,4,,,3,3,,,2,,,,,2,2,1,9,1,7,,,2,,,1,,1,
120,201400009,41279,6,04:00,2,181.8,RHS,6,,,3,3,,,2,,,,,2,4,1,10,6,,,,1,,,1,,1,
121,201400010,41280,7,08:00,2,244.4,LHS,4,,,3,3,,,2,,,,,2,4,5,12,5,3,,,2,,,1,,1,
122,201400011,41647,3,03:30,2,225.2,RHS,6,,,4,4,,,2,,,,,2,5,1,9,1,5,,,2,,,,1,0,
123,201400012,41648,4,11:00,2,165.8,LHS,5,,,4,4,,,2,,,,,2,1,5,12,5,,,,1,,,,1,0,
124,201400013,41649,5,10:40,2,220.2,RHS,2,,,4,4,,,3,,,,,2,2,1,10,1,10,,,2,,,,1,0,
125,201400014,41649,5,06:20,2,225.2,RHS,2,,,2,2,3,,3,,,,,2,4,1,9,7,1,,,2,,1,4,,5,
126,201400015,41650,6,09:40,2,224.6,RHS,6,,,3,3,,,2,,,,,2,4,1,12,6,,,,1,,,1,,1,
127,201400016,41651,7,06:40,2,241.6,LHS,2,,,2,2,3,,3,,,,,2,4,5,10,6,5,,,2,,1,2,,3,
128,201400017,41652,1,01:00,2,220,LHS,2,,,3,3,,,3,,,,,2,2,1,9,5,5,,,2,,,2,,2,
129,201400018,41652,1,07:15,2,225.6,RHS,2,,,2,2,3,,2,,,,,2,4,1,9,6,6,,,2,,1,1,,2,
130,201400019,41654,3,04:30,2,188.2,LHS,6,,,4,4,,,3,,,,,1,4,1,12,5,,,,1,,,,1,0,
131,201400020,41654,3,09:30,2,185.4,RHS,6,,,4,4,,,2,,,,,1,2,1,9,5,,,,1,,,,1,0,
132,201400021,41655,4,08:40,2,195.6,RHS,6,,,4,4,,,2,,,,,2,4,5,9,1,,,,1,,,,1,0,
133,201400022,41656,5,08:05,2,185.4,RHS,6,,,3,3,,,2,,,,,2,4,3,10,6,,,,1,,,2,,2,
134,201400023,41656,5,05:40,2,227.4,RHS,6,,,4,4,,,2,,,,,2,4,3,10,1,,,,1,,,,1,0,
135,201400024,41657,6,01:00,2,240.2,RHS,4,,,4,4,,,2,,,,,2,2,1,10,1,,,,1,,,,1,0,
136,201400025,41657,6,01:30,2,204.4,RHS,4,,,4,4,,,2,,,,,2,2,1,9,5,,,,1,,,,1,0,
137,201400026,41658,7,07:15,2,155.6,RHS,6,,,3,3,,,2,,,,,2,5,3,8,6,,,,1,,,2,,2,
138,201400027,41658,7,09:10,2,229.5,RHS,4,,,4,4,,,2,,,,,2,2,2,9,5,,,,1,,,,1,0,
139,201400028,41659,1,00:30,2,225.5,RHS,2,,,3,3,,,2,,,,,2,2,2,8,5,3,,,2,,,3,,3,
140,201400029,41659,1,05:30,2,184.8,LHS,2,,,3,3,,,2,,,,,2,5,1,9,6,1,,,2,,,2,,2,
141,201400030,41659,1,07:40,2,241.2,LHS,2,,,2,3,,,2,,,,,2,5,1,8,6,6,,,2,,2,,,2,
142,201400031,41660,2,12:15,2,215.9,RHS,8,,,1,1,,,2,,,,,2,4,3,9,5,,,,1,1,,,,1,
143,201400032,41664,6,05:00,2,178.1,RHS,6,,,2,2,,,3,,,,,2,4,1,10,6,,,,1,,1,,,1,
144,201400033,41664,6,12:15,2,223.2,RHS,2,,,2,2,,,3,,,,,2,4,2,9,2,6,,,2,,2,,,2,
145,201400034,41664,6,12:50,2,212.8,LHS,2,,,3,3,,,2,,,,,2,5,1,10,2,6,,,2,,,2,,2,
146,201400035,41665,7,03:15,2,249.6,LHS,2,,,3,3,,,2,,,,,2,1,2,9,5,6,,,2,,,2,,2,
147,201400036,41667,2,01:15,2,181.2,RHS,2,,,1,1,,,3,,,,,2,1,3,9,11,,,,1,1,,,,1,
148,201400037,41668,3,07:35,2,156.6,LHS,2,,,4,4,,,3,,,,,2,4,1,9,10,5,,,2,,,,1,0,
149,201400038,41668,3,12:00,2,231.2,RHS,2,,,4,4,,,2,,,,,2,2,2,9,10,1,,,2,,,,1,0,
150,201400039,41668,3,01:00,2,231.9,RHS,2,,,4,4,,,2,,,,,2,1,2,9,10,14,,,2,,,,1,0,
151,201400040,41668,3,08:10,2,227.3,RHS,6,,,2,2,,,2,,,,,3,2,2,10,6,,,,1,,1,,,1,
152,201400041,41668,3,09:10,2,225.9,RHS,2,,,3,3,,,2,,,,,2,2,2,9,3,5,,,2,,,3,,3,
153,201400042,41670,5,06:40,2,237.6,RHS,8,,,3,3,,,2,,,,,2,4,1,9,2,,,,1,,,1,,1,
154,201400043,41670,5,11:35,2,232,RHS,2,,,3,3,,,2,,,,,3,1,2,8,1,,,,1,,,1,,1,
155,201400044,41671,6,12:50,2,179.9,RHS,8,,,2,2,,,1,,,,,2,4,1,9,11,,,,1,,1,,,1,
156,201400045,41671,6,01:30,2,209.4,LHS,2,,,3,3,,,2,,,,,2,4,2,8,5,10,,,2,,,2,,2,
157,201400046,41672,7,01:15,2,177.5,LHS,3,,,3,3,,,3,,,,,2,8,1,10,5,14,,,2,,,1,,1,
158,201400047,41672,7,06:10,2,204.4,LHS,6,,,4,4,,,2,,,,,2,4,3,9,5,,,,1,,,,1,0,
159,201400048,41672,7,05:20,2,222.4,RHS,6,,,3,3,,,2,,,,,2,4,3,10,14,,,,1,,,1,,1,
160,201400049,41676,4,04:45,2,227.9,RHS,2,,,4,4,,,2,,,,,2,4,2,9,1,1,,,2,,,,1,0,
161,201400050,41679,7,10:10,2,228.6,LHS,3,,,1,1,3,,2,,,,,4,4,1,10,6,5,,,2,1,,2,,3,
162,201400051,41682,3,10:30,2,192.3,LHS,3,,,3,3,,,2,,,,,2,8,2,9,1,5,,,2,,,1,,1,
163,201400052,41683,4,05:30,2,181.9,RHS,2,,,3,3,,,3,,,,,1,4,1,8,1,5,,,2,,,3,,3,
164,201400053,41685,6,06:50,2,229.6,LHS,3,,,3,3,,,2,,,,,4,1,3,10,1,5,,,2,,,3,,3,
165,201400054,41685,6,07:50,2,179.7,LHS,2,,,3,3,,,2,,,,,4,4,1,10,6,5,,,2,,,1,,1,
166,201400055,41685,6,01:05,2,251,RHS,1,,,4,0,,,1,,,,,2,2,3,8,5,,,,1,,,,1,0,
167,201400056,41686,7,06:45,2,217.3,RHS,2,,,3,3,,,2,,,,,4,4,2,10,6,1,,,2,,,2,,2,
168,201400057,41688,2,05:07,2,191.6,RHS,1,,,3,3,,,1,,,,,2,2,1,9,5,,,,1,,,2,,2,
169,201400058,41689,3,12:30,2,241.7,LHS,1,,,4,0,,,1,,,,,4,2,1,8,1,,,,1,,,,1,0,
170,201400059,41691,5,09:20,2,245.8,LHS,2,,,3,3,,,2,,,,,4,4,3,10,7,6,,,2,,,2,,2,
171,201400060,41693,7,08:30,2,152.5,RHS,3,,,3,3,,,3,,,,,4,3,2,4,1,1,,,2,,,1,,1,
172,201400061,41695,2,04:55,2,158,LHS,1,,,3,3,,,3,,,,,2,2,3,8,6,5,,,2,,,1,,1,
173,201400062,41698,5,01:05,2,229.6,LHS,1,,,3,3,,,1,,,,,4,4,2,9,6,,,,1,,,1,,1,
174,201400063,41700,7,01:40,2,205.6,RHS,6,,,4,4,,,3,,,,,2,4,2,10,11,,,,1,,,,1,0,
175,201400064,41703,3,12:10,2,190.6,RHS,3,,,3,3,,,2,,,,,2,2,3,3,11,,,,1,,,2,,2,
176,201400065,41706,6,09:15,2,174.4,LHS,3,,,1,8,,,1,,,,,2,4,3,9,11,,,,1,1,,,,1,
177,201400066,41707,7,09:00,2,214.6,RHS,6,,,3,3,,,1,,,,,2,4,2,8,11,,,,1,,,3,,3,
178,201400067,41709,2,08:00,2,206.2,LHS,6,,,4,4,,,1,,,,,2,1,4,9,11,,,,1,,,,1,0,
179,201400068,41710,3,04:25,2,152.3,RHS,6,,,4,4,,,1,,,,,2,1,4,8,11,,,,1,,,,1,0,
180,201400069,41711,4,03:45,2,199.7,LHS,3,,,3,3,,,2,,,,,2,1,4,10,11,,,,1,,,3,,3,
181,201400070,41712,5,07:30,2,154.1,RHS,3,,,3,3,,,2,,,,,2,4,3,10,11,,,,1,,,4,,4,
182,201400071,41713,6,05:15,2,190.5,RHS,6,,,3,3,,,1,,,,,2,1,2,10,11,,,,1,,,2,,2,
183,201400072,41685,6,08:45,2,237.8,RHS,6,,,2,2,,,2,,,,,2,4,3,10,11,,,,1,,1,,,1,
184,201400073,41714,7,12:00,2,195.5,LHS,6,,,3,3,,,2,,,,,2,1,2,9,11,,,,1,,,1,,1,
185,201400074,41715,1,02:40,2,246.2,LHS,6,,,3,3,,,2,,,,,2,4,4,9,11,,,,1,,,1,,1,
186,201400075,41716,2,07:15,2,177.6,RHS,3,,,4,4,,,1,,,,,2,2,4,9,11,,,,1,,,,1,0,
187,201400076,41717,3,07:25,2,238,LHS,3,,,3,3,,,2,,,,,2,1,2,10,11,,,,1,,,3,,3,
188,201400077,41719,5,05:50,2,177,LHS,2,,,3,3,,,2,,,,,2,4,3,3,11,,,,1,,,6,,6,
189,201400078,41719,5,04:05,2,225.7,LHS,2,,,3,3,,,2,,,,,2,2,4,10,11,,,,1,,,3,,3,
190,201400079,41721,7,03:25,2,241.8,LHS,2,,,3,3,,,1,,,,,2,4,3,10,11,,,,1,,,2,,2,
191,201400080,41723,2,04:30,2,154.95,RHS,2,,,3,3,,,2,,,,,2,2,3,3,11,,,,1,,,4,,4,
192,201400081,41724,3,06:30,2,214.2,RHS,2,,,4,4,,,2,,,,,2,4,2,10,11,,,,1,,,,1,0,
193,201400082,41725,4,12:30,2,191.6,RHS,6,,,2,2,,,2,,,,,2,4,2,8,11,,,,1,,1,,,1,
194,201400083,41725,4,05:00,2,246.6,LHS,2,,,3,3,,,1,,,,,2,2,3,10,11,,,,1,,,4,,4,
195,201400084,41726,5,04:35,2,233,LHS,3,,,3,3,,,2,,,,,2,4,3,3,11,,,,1,,,3,,3,
196,201400085,41727,6,10:40,2,197.4,LHS,2,,,2,2,3,,2,,,,,2,2,2,9,11,,,,1,,1,1,,2,
197,201400086,41730,2,10:30,2,220.9,LHS,6,,,3,3,,,2,,,,,2,4,2,10,1,,,,1,,,3,,3,
198,201400087,41731,3,02:30,2,173.8,RHS,2,,,2,3,2,,2,,,,,2,4,2,9,6,1,,,2,,2,1,,3,
199,201400088,41732,4,04:32,2,208.8,LHS,2,,,3,3,,,3,,,,,2,1,2,8,1,5,,,2,,,1,,1,
200,201400089,41734,6,11:00,2,184,RHS,8,,,3,3,,,4,,,,,2,4,3,9,11,,,,1,,,1,,1,
201,201400090,41736,1,05:45,2,188.2,RHS,2,,,3,3,,,2,,,,,2,1,2,9,1,1,,,2,,,1,,1,
202,201400091,41738,3,09:30,2,168.8,RHS,6,,,3,3,,,2,,,,,2,4,2,8,6,,,,1,,,2,,2,
203,201400092,41739,4,06:53,2,215.4,RHS,2,,,2,2,,,2,,,,,2,4,2,10,6,5,,,2,,1,,,1,
204,201400093,41740,5,03:45,2,168.8,LHS,6,,,4,4,,,2,,,,,2,4,2,10,5,,,,1,,,,1,0,
205,201400094,41742,7,12:50,2,168,LHS,6,,,3,3,,,2,,,,,2,4,2,10,6,,,,1,,,1,,1,
